1|0|Main Menu|0||||0
2|1|When do I perform rapid PC assessment in the ED?|0||||0
3|2|Rapid screen for those on EOL trajectory: UNSTABLE patient (EOL-UNSTABLE)|0||For unstable patients use most resuscitative measures until you have more information. Ask yourself: ''How do I reverse life threat as usual (ABCs, VS)?'' ...but also ask yourself: ''Does patient have cachexia, contractures, open wounds?'' (b4 screen: relieve critical/unstable distress. 1st decrease suffering, stress, and anxiety for both the patient and family caregivers. In addition to considering how symptom-related suffering can be made better, consider how  underlying condition can be made better. The clinical condition may warrant antibiotics for infection, anticoagulation for thromboembolism, or intravenous fluids for dehydration. Careful attention must be paid when death is imminent. Goals of care must be assessed to determine the most appropriate next step for making things better, especially whether attempts for disease modification are warranted.||0
4|3|ABCD Model|0||||0
5|4|Do advanced care plans exist?|0|Is it essential that I ask this patient has advanced care plans?|In some cases, it may be appropriate to ask on first contact if this has been done.  It may not be optimal, but it may be the only time before arrest.||0
6|4|Can we make patient feel better?|0||||0
7|4|Are Caregivers involved?|0|"1. Engage caregivers early
   1. ''These decisions are very hard; if (patient's name) were sitting here now What do you think he/she would say?''
   2. ''Can you tell me why you feel that way?''
   3. ''How will the decision affect you and other family members?''
1. Who called for help? 
2. Why did caregiver call for help?"|||0
8|4|Does patient have decision making capacity?|0|"1. Can patient receive information? 
2. Can patient process/understand information?
      1. Will you describe your current condition? 
      2. What have the doctors told you?
      3. Tell me the options of treating 'X' we just discussed.
      4. Explain to me why you feel that way?
3. Can patient deliberate? I.e. Can patient make, articulate, and defend a choice?"|If yes to all the following criteria reverse the life threat based on patient's real-time expressed wishes. If no to all the following criteria: identify the surrogate, apply pre-expressed wishes.\||0
9|2|Rapid screen for those on EOL trajectory: STABLE patient (EOL-STABLE)|0||||0
10|9|NEST Model|0||||0
11|10|Are there social needs that must be addressed in ED?|0|"   1. ''Can you use a telephone?''
   2. ''If I write prescriptions for you, will you have to pay the full amount or do you have a prescription card of some sort that covers part of the cost?''
   3. ''Do you have difficulty seeing the kind of doctor you need because of a lack of health insurance?''
   4. ''Are you a member of a group that has reached out to provide you with practical assistance? Is a social worker involved in your care?''
   5. ''Can you afford to buy the medications prescribed?""
   6. ""Do you have enough income to pay the bills at home?""
   7. ""Is there a risk of having the electric, gas, water, or phone service discontinued?''
   8. ''If I write prescriptions for you, will you have to pay the full amount or do you have a prescription card of some sort that covers part of the cost?''
   9. ''Do you have difficulty seeing the kind of doctor you need because of a lack of health insurance?''
   10. ''How much are you able to do for yourself?''
   11. ''Tell me how you spend your day? How much time do you spend lying in bed or lying down in a day? more than half the day? has this changed recently?'' 
      1. >50% time supine and increasing correlates median survival of ~3 months
   12. ''How many times have you been in the hospital this year?
   13. Address cultural needs 
   14. Do you have any sense of how much time is left? is this something you'd like to talk about? "|||0
12|10|Are there existential needs that must be addressed in ED?|0|"   1. ''Does this illness cause you spiritual distress?''
   2. ''Do you have a belief system that underlies the way you make decisions about treatments for your illness?
   3. What is your faith or belief?
   4. ''Do you consider yourself spiritual or religious?''
   5. ''What things do you believe in that give meaning to your life?''
   6. ''Is faith important in your life?''
   7. ''What influence does it have on how you take care of yourself?''
   8. ''What roles do your beliefs play in regaining your health?'' 
   9. ''Are you part of a spiritual or religious community?''
   10. ''Does this provide support to you and how?''
   11. ''Is there a person or group of people you really love or who are really important to you?''
   12. ''Can we have our chaplain talk with you?''"|||0
13|10|Does patient have symptoms that must be addressed this visit?|0|"   1. ''How far can you walk without symptoms?''
   2. ''How is your appetite? How much do you eat on a daily basis?''
   3. ''Are you dependent on oxygen?''
   4. Include psychological symptoms
      1. ''Many people with your disease develop anxiety or depression. Other than physically, how has this illness has affected you?''
   5. ''A lot of people with a serious illness find that it disrupts their life with friends and family. In what way has your illness disrupted your life?''
Detail Text: Normalize presence of psychological distress seen w/ terminal illness. Ask broad, non-confrontational questions. Listen, provide empathetic responses. The physician will probably not be able to solve many of the problems a patient may bring up in this setting. However, validate patient's worth by listening. In itself of therapeutic value for some."|||0
